Item Code,Description,,U/M
050-002000,"HHCS 3/8""-24 x 2.25"" LG G8",,EA
050-003000,BOLT HHCS 10MM X 40MM OIL HARD,,EA
050-003333,"SET SCREW 1/4""-20X1/2""L SS",,EA
050-004000,"BOLT AS3251-14 INCO 1/4"" SPCL",,EA
050-008000,"BOLT HHCS 3/8""-24 x 1-1/2"" G8",,EA
050-010000,"BOLT HHCS 3/8""-24 x 1-3/4"" G8",,EA
050-010038,BOLT #10-32 X 0.38 LG,,EA
050-010350,USE 050-013000,,EA
050-010500,HHCS 10MM-1.5 X 50LG 18-8,,EA
050-012000,HHCS 10MMx30MM 18-8,,EA
050-012300,HHCS 10MM-1.5 X 45LG 18-8,,EA
050-0129000,HHCS 8MM-1.5 X 20MM LG 18-8,,EA
050-012910,HHCS 8MM-1.25 X 30MM LG 18-8,,EA
050-013000,HHCS 10MMx35MM,,EA
050-021901,"HHCS 1/2""-20 X 2.0"" LG 316",,EA
050-021906,"HHCS 3/8""-16 X 2.5"" LG 316",,EA
050-021910,"HHCS 1/4""-20 X 1-1/8"" LG 316",,EA
050-021911,"HHCS 1/4""-20 X 3/4"" LG 18-8",,EA
050-021999,"HHCS 5/8""-18 x 1.25"" LG G8",,EA
050-022100,"HHCS 5/16""-18 x 1-18""-8",,EA
050-025350,"HCS 1/4""-20 x 3.50"" LG 18-8",,EA
050-031308,"HHCS 3/4""-10 X 5.00"" LG 18-8",,EA
050-031320,"HHCS 1-1/8""-7 X 9.00"" LG 18-8",,EA
050-033999,"HHCS 5/8""-11 x 5.50"" LG G8",,EA
050-038100,"BOLT  HCS 3/8-16 X 1.00"" 18-8",,EA
050-038150,"BOLT  HCS 3/8""-16 X 1.50"" 18-8",,EA
050-038175,"BOLT  HCS 3/8""-16 X 1.75"" 18-8",,EA
050-038200,"BOLT  HCS 3/8""-16 X 2.00"" 18-8",,EA
050-038225,"BOLT  HCS 3/8""-16 X 2.25"" 18-8",,EA
050-038250,"BOLT  HCS 3/8""-16 X 2.50"" 18-8",,EA
050-038275,"BOLT  HCS 3/8""-16 X 2.75"" 18-8",,EA
050-038300,"BOLT  HCS 3/8""-16 X 3.00"" 18-8",,EA
050-038350,"BOLT  HCS 3/8""-16 X 3.50"" 18-8",,EA
050-04444,"HHCS 7/8""-14 x 3.00"" LG GR8",,EA
050-044444,"HHCS 7/8""-14 x 3.00"" LG GR8",,EA
050-045555,OBSOLETE SEE REMARKS,,EA
